sleep_seq,spo2_seq,hrv_mean,movement_mean,breathing_mean,label
"2,3,1,0,1,0,2,0,3,0,2,1,0,2,0,1,0,0,0,2,3,1,1,1,1,2,1,2,0,2","96.79,99.84,93.34,97.10,96.54,97.84,95.74,96.55,96.36,97.15,94.32,96.38,97.62,98.34,96.99,93.74,92.89,96.82,93.98,97.69,95.42,98.02,100.00,95.88,95.77,98.03,98.13,99.40,96.39,94.73",60.07713657254194,0.9340149768057062,15.371187679605413,3
"2,2,3,2,2,2,2,3,1,2,1,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2","97.42,99.28,98.66,97.21,98.25,98.27,98.99,97.87,98.01,97.48,98.53,97.83,98.15,97.62,98.04,97.14,98.13,97.52,98.56,99.48,98.68,97.10,97.71,96.71,98.01,96.58,97.04,98.88,98.69,96.78",66.42047868923935,0.8282562129874926,14.960874766454847,0
"1,2,1,2,1,2,2,2,2,2,2,2,3,3,1,2,3,2,1,1,1,2,2,2,1,2,2,2,2,2","97.99,98.32,96.68,97.45,99.34,98.95,97.43,99.40,97.43,97.34,99.23,99.05,97.53,97.96,97.73,98.40,99.25,98.43,97.91,96.92,98.62,97.02,97.85,98.77,98.65,98.67,98.56,98.12,98.24,98.07",73.8606194577799,0.9641611498932797,15.156709959221837,0
"0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1","98.58,95.93,96.62,97.01,95.57,97.80,98.88,97.30,96.47,94.70,95.48,97.34,98.26,96.78,95.51,96.13,96.43,95.07,96.69,97.89,95.32,96.44,94.98,96.18,96.85,98.02,97.46,95.82,97.09,96.67",54.8712987195212,0.8315523229122637,15.607773586503507,2
"0,3,0,3,3,2,2,1,2,2,1,2,1,3,0,3,1,2,1,3,1,2,1,2,1,3,3,1,0,3","95.83,99.97,94.20,96.48,96.83,93.96,96.17,95.61,96.45,96.91,98.80,96.58,97.09,99.00,92.83,95.48,96.08,92.89,96.15,91.29,97.41,93.04,93.50,97.05,92.66,100.00,96.23,95.81,98.41,95.84",62.4063119083067,0.9988400861714399,14.772154847498104,3
"1,2,1,2,3,1,2,2,1,1,3,2,2,3,2,3,3,2,2,1,1,2,1,1,0,2,0,1,3,3","93.87,94.12,93.29,91.00,91.94,87.38,92.96,87.82,91.17,90.62,93.40,90.67,91.86,96.49,87.29,92.34,94.59,90.12,92.06,87.92,87.17,94.17,91.02,88.06,90.58,93.81,93.65,95.14,90.49,90.12",51.97057675465928,0.8262247191931616,15.268888899707486,1
"2,2,1,1,2,1,2,1,0,2,2,0,0,0,0,1,3,1,2,3,1,2,1,2,1,3,0,1,3,0","95.41,94.60,96.81,94.35,97.07,100.00,92.89,91.26,94.02,97.49,94.58,97.15,97.90,95.50,97.77,91.46,97.67,97.60,95.80,98.01,98.88,99.87,99.88,96.11,95.72,95.84,90.65,97.40,100.00,97.13",45.785211550411724,0.9089106916151674,15.184589521479499,7
"2,0,2,2,0,1,2,1,2,2,2,3,0,2,2,0,3,3,0,3,2,2,2,1,0,2,1,1,0,3","98.45,98.39,96.51,94.78,96.15,97.22,94.92,94.47,92.45,98.18,97.18,97.34,97.12,91.94,96.22,96.90,96.14,91.30,95.75,95.49,98.08,95.79,94.96,94.96,97.45,97.35,95.57,95.20,91.40,91.92",51.645499632302645,0.6784179671453625,15.626090508615773,3
"2,2,1,2,1,2,2,0,1,0,0,2,0,2,2,2,1,3,3,1,1,1,3,2,1,2,1,1,2,2","92.96,92.89,87.05,92.96,87.28,94.48,91.05,92.73,91.36,91.76,88.66,91.49,91.81,92.62,93.63,93.44,92.81,90.04,88.10,88.99,89.55,94.54,95.23,89.61,88.52,87.13,90.13,93.25,88.74,95.56",52.40014323636589,0.5495185217447134,14.757609191968234,1
"3,3,2,2,2,0,1,1,2,1,2,1,1,3,1,2,2,1,1,0,1,1,0,2,1,1,2,2,3,3","92.28,94.03,92.07,93.92,85.99,90.79,92.11,90.23,92.56,99.15,92.34,93.23,92.61,88.41,87.54,87.14,92.84,85.88,93.93,91.39,93.36,88.02,96.66,91.82,86.32,95.70,88.18,88.33,88.41,91.07",55.0468137511642,0.74279634213208,14.694085047096538,1
"2,1,1,2,1,2,3,2,1,1,3,3,2,1,2,2,1,2,2,2,2,3,1,3,2,2,2,2,1,2","98.07,97.50,98.22,98.30,97.04,97.74,98.70,98.72,96.99,98.88,97.77,97.98,97.87,96.31,98.34,96.71,98.66,96.96,98.85,98.18,98.49,97.43,96.55,97.22,98.26,98.37,97.31,99.06,97.98,96.69",72.1541427687389,0.9889983548305229,15.144539332357864,0
"0,1,1,1,1,0,2,1,0,1,1,3,2,1,2,2,1,2,2,0,2,2,0,0,2,0,2,1,2,1","97.49,94.44,97.22,96.30,96.10,92.39,95.82,94.04,94.83,96.98,100.00,99.80,97.03,96.77,95.30,94.00,96.89,95.11,99.51,100.00,100.00,94.73,94.99,93.58,97.30,94.29,94.79,94.22,94.89,99.31",35.33332931895016,0.8070196038680135,14.746217084276672,3
