sleep_seq,spo2_seq,hrv_mean,movement_mean,breathing_mean,label
"2,1,3,2,1,3,2,0,2,1,3,3,3,2,1,2,1,2,2,0,1,3,3,0,0,1,3,1,2,1","87.51,95.84,90.00,94.17,88.19,94.01,94.02,93.15,89.02,92.75,88.45,91.24,95.09,94.39,92.05,89.08,93.94,92.06,85.04,94.35,91.93,95.61,88.71,82.47,92.84,92.87,86.93,89.06,100.00,91.08",56.77150771651459,0.5821464267173407,14.895437921212585,1
"2,2,1,1,0,3,2,1,2,1,2,3,2,2,0,0,1,0,2,2,0,2,1,1,1,1,1,1,1,3","95.72,96.29,94.96,100.00,98.72,93.51,96.47,94.78,93.97,93.32,96.86,94.64,97.94,97.99,98.75,94.30,96.95,97.26,95.05,94.46,99.22,96.45,97.27,94.36,93.56,94.86,95.75,93.87,95.98,92.62",48.79952577530128,0.8822549468555285,15.31718252954831,7
"2,2,1,2,3,1,3,1,0,1,3,1,3,3,1,0,2,1,2,1,1,2,1,1,1,1,2,2,1,2","93.60,97.77,96.57,95.71,97.13,99.27,95.56,96.14,96.39,100.00,91.80,97.37,95.77,97.13,94.69,95.90,97.42,100.00,97.62,94.30,95.15,95.09,92.41,95.34,97.47,93.45,98.10,96.98,94.53,95.72",75.98321807641034,0.9307882675894414,15.353056248435003,4
"0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0","95.66,96.98,97.51,97.08,96.29,95.18,96.29,95.61,98.70,96.88,96.65,97.89,95.88,96.23,97.07,98.03,97.50,97.25,97.08,97.40,97.20,95.97,97.05,95.93,97.08,96.52,99.54,96.96,95.60,96.87",60.19358745637888,0.7614537052022817,15.167688829395809,2
"2,3,2,2,1,2,1,2,2,2,2,2,2,1,1,3,1,2,3,2,2,2,3,3,2,1,2,2,2,1","98.44,97.53,96.52,97.66,98.82,97.73,97.32,98.74,97.74,97.59,98.12,98.62,99.91,98.66,98.93,97.60,97.18,98.05,98.09,97.14,97.86,98.32,98.29,98.40,98.23,97.59,97.59,97.04,99.43,98.01",68.20117555364118,0.8696155914662375,14.641376920521576,0
"2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,3,1,2,2,3,3,2,1,2,2,2","98.06,97.78,98.99,97.36,98.15,97.47,97.79,96.79,97.82,97.85,98.43,98.18,97.04,98.87,98.17,98.16,97.99,97.59,98.17,98.38,96.60,97.57,97.80,98.20,98.95,97.38,97.60,97.59,97.36,97.72",76.16641775990377,0.8512489614579173,14.664325254235239,0
"1,2,2,2,3,2,1,3,3,1,2,2,2,1,2,3,2,1,2,2,3,2,1,1,2,2,2,2,2,2","97.54,97.06,98.03,97.05,98.74,97.93,97.86,98.52,98.77,97.98,97.38,96.58,97.45,97.51,98.09,97.72,98.55,97.51,97.95,98.95,98.27,97.95,97.52,97.49,97.32,97.57,98.60,97.82,96.92,99.41",72.55972152916131,0.6608317019228956,14.9325593866918,0
"1,0,3,1,1,0,3,2,2,3,1,2,0,1,2,2,1,1,2,0,1,1,1,2,1,1,2,3,1,0","90.94,98.58,94.50,98.63,96.42,95.68,100.00,93.89,95.29,93.54,97.90,99.38,99.34,98.45,95.60,95.27,92.66,100.00,96.94,95.02,98.66,94.05,96.81,95.65,97.28,95.87,93.10,96.15,98.10,95.94",67.75115121589086,0.6907595725639207,15.135009911016803,5
"0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0","97.76,95.26,96.39,98.57,98.45,97.94,96.82,97.08,96.87,98.13,96.12,96.19,98.01,96.96,98.38,96.33,96.95,96.08,97.01,95.52,96.51,95.56,97.69,97.72,95.27,98.33,99.50,97.05,96.36,99.82",41.8103150169749,0.8231366527513333,14.65794251315239,2
"1,3,2,0,1,3,1,0,2,2,2,0,0,2,1,2,2,1,3,2,2,0,0,1,1,3,1,1,1,2","95.54,95.61,93.92,97.14,95.34,94.96,97.71,96.06,97.03,94.04,93.19,96.21,95.36,97.25,95.84,96.41,92.75,99.78,95.67,97.40,94.33,96.62,93.39,96.90,95.29,96.06,97.40,93.53,94.63,96.91",80.98221474546747,0.911764535142581,14.628330807134107,3
